url,canonical,canonical_status,meta_robots,note
"https://devlo.ch/de/fallstudien/av-integration-16-termine/","https://devlo.ch/de/fallstudien/av-integration-16-termine/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/gewerbeimmobilien-11-interessenten/","https://devlo.ch/de/fallstudien/gewerbeimmobilien-11-interessenten/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/training-14-termine/","https://devlo.ch/de/fallstudien/training-14-termine/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/hr-54-termine-dach/","https://devlo.ch/de/fallstudien/hr-54-termine-dach/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/merchandising-23-interessenten/","https://devlo.ch/de/fallstudien/merchandising-23-interessenten/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/immobilien-30-interessenten/","https://devlo.ch/de/fallstudien/immobilien-30-interessenten/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/buchhaltungssoftware-200k-umsatz/","https://devlo.ch/de/fallstudien/buchhaltungssoftware-200k-umsatz/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/unser-termin/","https://devlo.ch/de/unser-termin/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/terms/","https://devlo.ch/de/terms/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/resultats-cas-etudes/page/2/","https://devlo.ch/resultats-cas-etudes/","cross-page","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/prospection-commerciale-b2b/","https://devlo.ch/prospection-commerciale-b2b/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/courriel-quelquun-vendre-quelque-chose/","https://devlo.ch/courriel-quelquun-vendre-quelque-chose/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/developpement-ventes-peche-au-harpon/","https://devlo.ch/developpement-ventes-peche-au-harpon/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/lancement-devlo-partenaire-de-confiance-generation-de-prospects/","https://devlo.ch/lancement-devlo-partenaire-de-confiance-generation-de-prospects/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/externaliser-le-developpement-des-ventes-b2b-comment-eviter-les-depenses-excessives/","https://devlo.ch/externaliser-le-developpement-des-ventes-b2b-comment-eviter-les-depenses-excessives/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/5-raisons-pour-lesquelles-la-prospection-commerciale-b2b-est-cruciale/","https://devlo.ch/5-raisons-pour-lesquelles-la-prospection-commerciale-b2b-est-cruciale/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/oui-a-reduction-friction-commerciale/","https://devlo.ch/oui-a-reduction-friction-commerciale/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/personnalisation-digitalisation-sont-si-importantes/","https://devlo.ch/personnalisation-digitalisation-sont-si-importantes/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/indicateurs-de-performance-elimines-2020/","https://devlo.ch/indicateurs-de-performance-elimines-2020/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/2020-leaders-equipes-vente-b2b/","https://devlo.ch/2020-leaders-equipes-vente-b2b/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/mark-roberge-predictions-prescriptions-2021/","https://devlo.ch/mark-roberge-predictions-prescriptions-2021/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/results_cas_studies/page/2/","https://devlo.ch/en/results_cas_studies/","cross-page","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/blog/","https://devlo.ch/blog/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/author/charlesperret/","","missing","noindex, follow",""
"https://devlo.ch/en/ultimate-sales-training-course/","https://devlo.ch/en/ultimate-sales-training-course/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/category/b2b/","","missing","noindex, follow",""
"https://devlo.ch/en/personalized-b2b-sales-sequences/","https://devlo.ch/en/personalized-b2b-sales-sequences/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/sales-development-is-like-spearfishing/","https://devlo.ch/en/sales-development-is-like-spearfishing/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/devlo-b2b-lead-generation-partner/","https://devlo.ch/en/devlo-b2b-lead-generation-partner/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/outsourcing-b2b-sales-development-avoid-overspending/","https://devlo.ch/en/outsourcing-b2b-sales-development-avoid-overspending/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/5-reasons-why-b2b-sales-prospecting-is-essential/","https://devlo.ch/en/5-reasons-why-b2b-sales-prospecting-is-essential/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/yes-to-reducing-sales-friction/","https://devlo.ch/en/yes-to-reducing-sales-friction/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/personalisation-digitalisation-are-so-important/","https://devlo.ch/en/personalisation-digitalisation-are-so-important/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/eliminated-kpis-in-2020/","https://devlo.ch/en/eliminated-kpis-in-2020/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/2020-b2b-sales-leaders-teams/","https://devlo.ch/en/2020-b2b-sales-leaders-teams/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/ergebnisse_fall_studien/page/2/","https://devlo.ch/de/ergebnisse_fall_studien/","cross-page","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/author/charlesperret/","","missing","noindex, follow",""
"https://devlo.ch/de/ultimativer-verkaufstrainingskurs/","https://devlo.ch/de/ultimativer-verkaufstrainingskurs/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/category/b2b/","","missing","noindex, follow",""
"https://devlo.ch/de/courriel-quelquun-vendre-quelque-chose/","https://devlo.ch/de/courriel-quelquun-vendre-quelque-chose/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/developpement-ventes-peche-au-harpon/","https://devlo.ch/de/developpement-ventes-peche-au-harpon/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/lancement-devlo-partenaire-de-confiance-generation-de-prospects/","https://devlo.ch/de/lancement-devlo-partenaire-de-confiance-generation-de-prospects/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/externaliser-le-developpement-des-ventes-b2b-comment-eviter-les-depenses-excessives/","https://devlo.ch/de/externaliser-le-developpement-des-ventes-b2b-comment-eviter-les-depenses-excessives/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/5-raisons-pour-lesquelles-la-prospection-commerciale-b2b-est-cruciale/","https://devlo.ch/de/5-raisons-pour-lesquelles-la-prospection-commerciale-b2b-est-cruciale/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/oui-a-reduction-friction-commerciale/","https://devlo.ch/de/oui-a-reduction-friction-commerciale/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/personnalisation-digitalisation-sont-si-importantes/","https://devlo.ch/de/personnalisation-digitalisation-sont-si-importantes/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/indicateurs-de-performance-elimines-2020/","https://devlo.ch/de/indicateurs-de-performance-elimines-2020/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/2020-leaders-equipes-vente-b2b/","https://devlo.ch/de/2020-leaders-equipes-vente-b2b/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/resultats-cas-etudes/page/1/","","missing","",""
"https://devlo.ch/author/charlesperret/","","missing","noindex, follow",""
"https://devlo.ch/category/b2b/","","missing","noindex, follow",""
"https://devlo.ch/et_body_layout/theme-builder-layout/","","missing","",""
"https://devlo.ch/en/mark-roberge-predictions-prescriptions-2021/","https://devlo.ch/en/mark-roberge-predictions-prescriptions-2021/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/mark-roberge-predictions-prescriptions-2021/","https://devlo.ch/de/mark-roberge-predictions-prescriptions-2021/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/results_cas_studies/page/1/","","missing","",""
"https://devlo.ch/en/author/charlesperret/page/2/","","missing","noindex, follow",""
"https://devlo.ch/en/category/b2b/page/2/","","missing","noindex, follow",""
"https://devlo.ch/en/et_body_layout/theme-builder-layout/","","missing","",""
"https://devlo.ch/de/ergebnisse_fall_studien/page/1/","","missing","",""
"https://devlo.ch/de/author/charlesperret/page/2/","","missing","noindex, follow",""
"https://devlo.ch/de/category/b2b/page/2/","","missing","noindex, follow",""
"https://devlo.ch/de/et_body_layout/theme-builder-layout/","","missing","",""
"https://devlo.ch/author/charlesperret/page/2/","","missing","noindex, follow",""
"https://devlo.ch/category/b2b/page/2/","","missing","noindex, follow",""
"https://devlo.ch/en/author/charlesperret/page/3/","","missing","noindex, follow",""
"https://devlo.ch/de/author/charlesperret/page/3/","","missing","noindex, follow",""
"https://devlo.ch/author/charlesperret/page/3/","","missing","noindex, follow",""
